day_of_week,is_holiday,temperature,precipitation,price_point,neighborhood_income,local_event_size,season,staff_count,marketing_spend,daily_revenue
3.0,False,12.735807395830314,0.1057021747607849,43.90859931267758,45277.37023428074,0.0,,,234.97873354876725,3683.07
4.0,False,8.701570389317668,0.6532518420207387,40.5902836640208,66931.55211394906,5000.0,0.0,11.0,,6823.32
5.0,False,31.72519015137243,4.777721902178681,23.83346676208757,62985.89543360205,0.0,0.0,14.0,343.0220889174292,3986.29
,False,18.193789596107717,0.5477211042841541,26.55293185805776,50996.74684261808,0.0,0.0,,197.7412621858618,3517.64
0.0,False,,0.3130617219709395,,61047.03127485029,5000.0,,5.0,299.29907913957607,6168.18
1.0,,8.602014510292346,1.3445442189472725,24.50766015468833,54220.2960470736,0.0,0.0,9.0,232.1393925123656,3531.85
2.0,False,15.64493820379854,8.48807396523052,,61702.76017876872,0.0,0.0,8.0,473.47672950394985,3938.48
3.0,False,20.88738071767893,0.5542896271194524,31.704037873750504,69931.9601178157,0.0,0.0,14.0,,3410.36
4.0,False,10.792051380621578,2.2303100205945867,43.08464322482343,83790.25224218029,0.0,,12.0,190.1331190850113,4021.6
5.0,False,23.005584146765376,2.8677752524789257,35.88089390024919,41432.76751759727,0.0,0.0,5.0,246.14272786962303,3773.05
6.0,,15.19489048064956,0.5426663446716116,32.10183510268095,,,0.0,14.0,295.1239203234952,3473.16
,False,17.666450001653786,2.6054978569846323,,30718.68300716247,1000.0,0.0,5.0,440.3270071344585,3582.91
1.0,False,15.186347102164824,0.917045598528608,,57723.22357446625,0.0,0.0,8.0,,3394.97
2.0,False,34.818225476071504,2.0010074954635426,44.7016155031279,68824.75809726864,0.0,0.0,12.0,422.3459546964574,4131.01
,,19.892022202096527,,19.202520457095723,64214.87801602549,5000.0,0.0,,122.26139574279014,5665.02
4.0,False,11.538312568352795,,,50659.50720269109,500.0,0.0,6.0,436.9256141192727,4889.01
5.0,False,26.580359296825517,,,56878.16624464087,,0.0,10.0,120.65419114980514,4193.48
6.0,False,10.233250800231822,,37.22305853262613,52604.985980117504,0.0,0.0,9.0,107.29699257134442,3209.8
0.0,False,21.67090876003804,0.7736205873347932,,51159.52864583683,0.0,0.0,6.0,,3586.48
,True,,0.4128642132151131,36.07452251961328,72744.03145531537,0.0,0.0,7.0,498.90221390735775,3794.77
2.0,False,9.374511608812556,0.0832595195886904,25.78473453659265,65355.23228947571,0.0,0.0,13.0,,3952.46
3.0,False,21.574889886952988,,,,0.0,0.0,11.0,330.399367122264,3690.8
,False,25.907732639963285,2.2637034685346977,,73493.99813149875,,0.0,,466.9582452342127,4446.67
5.0,True,21.370946249519765,0.0334538951169412,39.30340184037542,64609.49281314914,0.0,0.0,10.0,102.12000255904216,4765.24
,False,19.07481374089408,1.4352611690989767,41.01216955740311,72192.9317825844,5000.0,0.0,12.0,490.026865178057,6211.75
0.0,False,17.59117043528569,0.5136482941099153,42.39721657669413,69444.43262885418,5000.0,0.0,8.0,296.29951170351376,6152.34
1.0,False,,2.072248683095384,30.340271965828133,47565.07483616892,,0.0,,389.1584386487103,3463.39
2.0,,14.24124633284233,0.3832084450782675,30.045488840615988,51597.284397045456,0.0,0.0,8.0,,3302.87
3.0,False,16.3148898323217,2.348425055135438,38.948855369003255,,0.0,0.0,,,3832.46
4.0,False,28.45697780975133,,34.498917923332954,69155.55398150197,500.0,0.0,13.0,314.0146928179642,4068.73
5.0,,22.74894631654769,5.520687635608614,36.059006317731104,59686.47609053778,0.0,0.0,7.0,290.6477936505648,4000.64
6.0,False,5.895678757098128,0.2958888268785579,,61759.91074963173,0.0,0.0,7.0,435.43302348104993,3426.12
0.0,False,22.59267175515836,0.8342648679903435,41.70016025452699,79164.97343682637,,,,182.03102405978365,4109.16
1.0,False,16.919341756669468,0.2408885700739928,25.139854705546075,51126.42916746255,500.0,0.0,14.0,487.1976266016937,4244.01
2.0,,14.584623997552333,5.172380794301447,26.26748857919832,68206.46071755057,1000.0,0.0,7.0,384.3809915346993,4311.24
3.0,False,24.893410310726946,4.196667414321988,17.81945819522607,56967.11021349159,100.0,0.0,7.0,179.80277093532789,3592.98
4.0,False,28.247996179967608,,,56734.78195159169,0.0,,9.0,394.4988734793953,3984.19
5.0,False,27.45024095292959,2.157525478087829,16.078268213902263,76481.65277980786,,0.0,9.0,311.93600927244665,4006.59
,False,13.28625981421889,,,,1000.0,0.0,,382.8920382577778,3988.67
0.0,False,17.526300993190283,1.620264721373016,31.2793390412273,,500.0,0.0,14.0,,3840.91
,False,22.65010745122851,1.508558820387892,,79582.18210731493,0.0,0.0,10.0,134.91607183587018,3346.49
2.0,False,,0.5537540908758063,,60315.05762449138,0.0,1.0,,302.44158254373883,3478.89
3.0,False,16.16660609723768,0.1954522809498814,,70229.29456942446,0.0,1.0,10.0,,3534.98
4.0,True,18.514728186689464,4.550246450389046,16.12044566247643,55345.99865109816,500.0,1.0,5.0,228.2568768638057,5254.76
5.0,False,,4.6135488552968535,39.67801681978975,,5000.0,1.0,9.0,337.5532390231596,7353.66
6.0,False,10.430347007354634,2.005339838965769,25.805719242337886,,0.0,1.0,13.0,247.6921926039585,3347.47
0.0,,26.500206579153584,0.8280930196226478,18.811815379556545,61454.93947489077,,,14.0,281.70718888763986,3251.76
1.0,False,30.84992022856658,0.8591352316232879,30.66729780164413,68927.3553815537,0.0,1.0,6.0,319.4412471752613,3800.78
,False,19.42391902735733,2.588930859454236,38.09980659295832,47726.68975149792,5000.0,1.0,5.0,319.5687919555909,6865.53
3.0,True,28.028263183136197,4.5481946982145045,21.474630824905297,91385.8091352819,500.0,1.0,14.0,180.69218493209436,4286.3
,,22.893088200381072,4.3622651387932265,33.68671427457001,44909.73927750447,500.0,1.0,13.0,373.8286191519333,4587.88
5.0,False,14.839041963159003,,17.56042394981304,41787.17080818402,0.0,1.0,14.0,135.14724449706273,4147.93
6.0,False,22.891164844067312,,,77371.66310250101,0.0,,13.0,155.52990937680815,3415.59
0.0,,32.304292531727754,,30.94063894704444,71874.94040944404,0.0,1.0,13.0,101.08435976573188,3165.18
,False,19.71339168712039,,,69361.79725578232,,,10.0,146.67842565667252,3140.26
2.0,False,32.51714924651205,4.576461000355011,34.1228970449462,69425.1826389642,500.0,1.0,12.0,289.2664804207569,3352.61
3.0,False,-0.957960832717955,,36.78274001167985,59816.29840729628,500.0,1.0,,,3674.2
4.0,False,26.57522003500179,0.0184792112219888,44.27556238387604,46541.18442771253,5000.0,,14.0,417.715779986585,7838.01
5.0,False,20.69637654590537,0.2139938028718986,,,,1.0,8.0,142.67970004537443,7509.05
,False,17.60794119627306,,24.688694188237378,49842.574327318325,0.0,1.0,5.0,,3252.73
0.0,False,20.73408621228402,0.010148874103594,38.85558584306111,74626.79600126627,100.0,1.0,,398.3898102194872,3972.19
,,4.099448683192858,0.3506316322083981,23.124967537862226,57794.13927746792,1000.0,1.0,5.0,263.4073171743668,3870.4
2.0,False,18.242624897299905,,28.169142621169083,47617.54204811233,500.0,1.0,7.0,473.17522683998186,3782.83
3.0,,22.85690057209397,2.3546305733096253,17.35369144026798,55179.2123752051,0.0,1.0,8.0,496.3717905829562,3481.74
4.0,False,31.82315235793213,2.1108829642704974,15.760522302463723,66193.97181413436,0.0,1.0,,,3937.83
,False,,0.507899734616049,43.87945244033775,51544.13170794038,0.0,1.0,,,3749.43
6.0,False,13.532051176854498,2.4908345777970777,40.079403615366175,47666.69406650353,5000.0,1.0,14.0,470.5797694358845,7168.62
0.0,False,,0.5416475181056118,35.87922618281094,63655.30817237868,0.0,1.0,11.0,388.63862030051087,3730.22
1.0,False,27.323216941616597,0.7872698178361689,,,0.0,1.0,12.0,119.23785758563508,3622.75
2.0,False,22.63000887727748,2.7447151033315813,20.19882960212537,,0.0,1.0,6.0,412.605792700566,3600.51
3.0,False,15.76191836986369,2.097547628605536,19.69311128013258,,0.0,1.0,,431.1763548709968,3370.89
4.0,False,24.10613946490685,3.783912154926802,22.50728694493786,63480.74906036454,0.0,1.0,12.0,400.2007699061254,4172.94
,,,2.143626576339525,31.47679994118361,,0.0,1.0,7.0,419.8148523678062,4678.49
6.0,False,,1.6800886111745148,36.437877681001865,38888.04338435167,0.0,1.0,11.0,430.0530706771189,3410.46
0.0,False,14.38357524898118,0.1967141228968209,34.80592130153194,49223.33668121346,0.0,1.0,7.0,174.56199471525764,3135.36
1.0,False,17.378702827217854,0.91683261441404,23.398016908378285,56798.292724322295,100.0,1.0,11.0,194.2766984259999,3164.96
2.0,False,,0.6163202957176623,43.64595841989582,64663.61348397007,,,6.0,353.5034254880709,3473.09
3.0,False,8.291880414943051,0.5594004073248425,37.13690750087305,82130.34325424329,500.0,1.0,14.0,,4226.95
4.0,False,22.368962216516607,7.2246188123258515,31.63062157534202,72864.8943480303,0.0,1.0,10.0,226.47863291859784,4496.8
5.0,False,22.088442177439116,0.9987749940800476,,57600.922050548594,0.0,1.0,7.0,,3960.46
,False,20.040907653139687,4.452110422497046,27.588001872833697,59714.75688145967,500.0,1.0,,373.19282536685296,4151.63
,False,,1.9946687714729665,22.431929685034724,,0.0,1.0,,280.7794405196157,3476.97
